Simulation ID,Pattern Type,Flight Time,Distance Flown,Person Found,Estimated Position Lat,Estimated Position Lon,Actual Position Lat,Actual Position Lon,Deviation Direction,Deviation Distance,Drift Direction,Drift Speed,Time Since Contact,Distance To Shore
0,Expanding Square,236.78290468850417,1987.829046885043,True,55.59483493520153,12.405816677869895,55.59491273870229,12.405777194317782,344,9,251,0.5171062402615367,335,1.374845837596332 km
0,Expanding Square,236.78290468850417,1987.829046885043,True,55.59483493520153,12.405816677869895,55.59491273870229,12.405777194317782,344,9,251,0.5171062402615367,335,1.374845837596332 km
0,Line Search,557.8017043480739,4918.017043480738,False,55.59483493520153,12.405816677869895,55.59491273870229,12.405777194317782,344,9,251,0.5171062402615367,335,1.374845837596332 km
0,Line Search,557.8017043480739,4918.017043480738,False,55.59483493520153,12.405816677869895,55.59491273870229,12.405777194317782,344,9,251,0.5171062402615367,335,1.374845837596332 km
0,Sector Search,302.78290468783916,2867.8290468783944,True,55.59483493520153,12.405816677869895,55.59491273870229,12.405777194317782,344,9,251,0.5171062402615367,335,1.374845837596332 km
1,Expanding Square,175.09495375012713,1650.9495375012707,True,55.59532940508582,12.379403143545339,55.59567446467564,12.379131245144372,336,42,231,0.4184883457812638,155,0.26381321357995685 km
1,Expanding Square,175.09495375012713,1650.9495375012707,True,55.59532940508582,12.379403143545339,55.59567446467564,12.379131245144372,336,42,231,0.4184883457812638,155,0.26381321357995685 km
1,Line Search,186.09495375064012,1780.949537506401,True,55.59532940508582,12.379403143545339,55.59567446467564,12.379131245144372,336,42,231,0.4184883457812638,155,0.26381321357995685 km
1,Line Search,186.09495375064012,1780.949537506401,True,55.59532940508582,12.379403143545339,55.59567446467564,12.379131245144372,336,42,231,0.4184883457812638,155,0.26381321357995685 km
1,Sector Search,210.09495375002226,2020.949537500222,True,55.59532940508582,12.379403143545339,55.59567446467564,12.379131245144372,336,42,231,0.4184883457812638,155,0.26381321357995685 km
2,Expanding Square,196.87716062829392,1908.7716062829395,True,55.59762336198572,12.416538337029714,55.59740188989501,12.416036624070502,232,40,191,0.8933212594285738,213,2.0260724748001864 km
2,Expanding Square,196.87716062829392,1908.7716062829395,True,55.59762336198572,12.416538337029714,55.59740188989501,12.416036624070502,232,40,191,0.8933212594285738,213,2.0260724748001864 km
2,Line Search,209.87716062842875,2018.7716062842883,True,55.59762336198572,12.416538337029714,55.59740188989501,12.416036624070502,232,40,191,0.8933212594285738,213,2.0260724748001864 km
2,Line Search,209.87716062842875,2018.7716062842883,True,55.59762336198572,12.416538337029714,55.59740188989501,12.416036624070502,232,40,191,0.8933212594285738,213,2.0260724748001864 km
2,Sector Search,832.7596389247328,7847.596389247336,False,55.59762336198572,12.416538337029714,55.59740188989501,12.416036624070502,232,40,191,0.8933212594285738,213,2.0260724748001864 km
3,Expanding Square,164.52805856558027,1585.2805856558023,True,55.598242651853674,12.41290332223785,55.59823197946734,12.413444184459713,92,34,347,0.02971192907110254,533,1.7307384491853255 km
3,Expanding Square,164.52805856558027,1585.2805856558023,True,55.598242651853674,12.41290332223785,55.59823197946734,12.413444184459713,92,34,347,0.02971192907110254,533,1.7307384491853255 km
3,Line Search,578.5530316030204,5125.530316030209,False,55.598242651853674,12.41290332223785,55.59823197946734,12.413444184459713,92,34,347,0.02971192907110254,533,1.7307384491853255 km
3,Line Search,578.5530316030204,5125.530316030209,False,55.598242651853674,12.41290332223785,55.59823197946734,12.413444184459713,92,34,347,0.02971192907110254,533,1.7307384491853255 km
3,Sector Search,260.5280585651642,2485.280585651641,True,55.598242651853674,12.41290332223785,55.59823197946734,12.413444184459713,92,34,347,0.02971192907110254,533,1.7307384491853255 km
4,Expanding Square,165.8025988110682,1438.025988110682,True,55.59581607921415,12.398538666985333,55.59583552561478,12.39903087460159,86,31,310,0.10844750216464816,279,1.107120975297947 km
4,Expanding Square,165.8025988110682,1438.025988110682,True,55.59581607921415,12.398538666985333,55.59583552561478,12.39903087460159,86,31,310,0.10844750216464816,279,1.107120975297947 km
4,Line Search,504.7212632495114,4387.212632495113,False,55.59581607921415,12.398538666985333,55.59583552561478,12.39903087460159,86,31,310,0.10844750216464816,279,1.107120975297947 km
4,Line Search,504.7212632495114,4387.212632495113,False,55.59581607921415,12.398538666985333,55.59583552561478,12.39903087460159,86,31,310,0.10844750216464816,279,1.107120975297947 km
4,Sector Search,230.8025988113493,2188.025988113494,True,55.59581607921415,12.398538666985333,55.59583552561478,12.39903087460159,86,31,310,0.10844750216464816,279,1.107120975297947 km
5,Expanding Square,288.23514934213665,2462.351493421364,True,55.592236647486985,12.402672277809828,55.59217272869219,12.403020406221726,108,23,215,0.407614817726317,450,1.5443910020461387 km
5,Expanding Square,288.23514934213665,2462.351493421364,True,55.592236647486985,12.402672277809828,55.59217272869219,12.403020406221726,108,23,215,0.407614817726317,450,1.5443910020461387 km
5,Line Search,639.4085692249123,5734.085692249122,False,55.592236647486985,12.402672277809828,55.59217272869219,12.403020406221726,108,23,215,0.407614817726317,450,1.5443910020461387 km
5,Line Search,639.4085692249123,5734.085692249122,False,55.592236647486985,12.402672277809828,55.59217272869219,12.403020406221726,108,23,215,0.407614817726317,450,1.5443910020461387 km
